Released,Model,Family,Discontinued,Future release,Source link
"October 01, 1993",Personal LaserWriter 320,LaserWriter,"September 16, 1995",false,https://en.wikipedia.org/wiki/Personal_LaserWriter_320
"October 01, 1993",LaserWriter Pro 810,LaserWriter,"November 1, 1994",false,https://en.wikipedia.org/wiki/LaserWriter_Pro_810
"October 21, 1993",Macintosh Color Classic II,Compact,"November 1, 1995",false,https://en.wikipedia.org/wiki/Macintosh_Color_Classic_II
"October 21, 1993",Quadra 605,Quadra,"October 17, 1994",false,https://en.wikipedia.org/wiki/Quadra_605
"October 21, 1993",Quadra 610,Quadra,"July 18, 1994",false,https://en.wikipedia.org/wiki/Quadra_610
"October 21, 1993",Quadra 650,Quadra,"September 12, 1994",false,https://en.wikipedia.org/wiki/Quadra_650
"October 21, 1993",PowerBook Duo 250,PowerBook Duo,"May 16, 1994",false,https://en.wikipedia.org/wiki/PowerBook_Duo_250
"October 21, 1993",PowerBook Duo 270c,PowerBook Duo,"May 16, 1994",false,https://en.wikipedia.org/wiki/PowerBook_Duo_270c
"October 21, 1993","Apple Color Plus 14"" Display",Display,"August 7, 1995",false,https://en.wikipedia.org/wiki/Apple_Color_Plus_14%22_Display
"February 01, 1994",Macintosh LC 575,Macintosh LC,"April 3, 1995",false,https://en.wikipedia.org/wiki/Macintosh_LC_575
"February 01, 1994",Apple QuickTake 100,QuickTake,"January 1, 1995",false,https://en.wikipedia.org/wiki/Apple_QuickTake
"March 14, 1994",Power Macintosh 7100,Power Macintosh,"January 6, 1996",false,https://en.wikipedia.org/wiki/Power_Macintosh_7100
"March 14, 1994",Power Macintosh 8100,Power Macintosh,"January 3, 1995",false,https://en.wikipedia.org/wiki/Power_Macintosh_8100
"April 25, 1994",Workgroup Server 9150,Workgroup Server,"February 26, 1996",false,https://en.wikipedia.org/wiki/Workgroup_Server_9150
"April 25, 1994",Workgroup Server 8150,Workgroup Server,"February 26, 1996",false,https://en.wikipedia.org/wiki/Power_Macintosh_8100
"May 16, 1994",PowerBook 540c,PowerBook 500,"August 16, 1995",false,https://en.wikipedia.org/wiki/PowerBook_500
"May 16, 1994",PowerBook 550,PowerBook 500,"April 1, 1996",false,https://en.wikipedia.org/wiki/PowerBook_500
